,name,review_score,reviewers,final_price,discount,ori_price,release_date,id,link
246,Graveyard Keeper,86,"26,495",490.0,65,"1.400,00",2018 年 8 月 15 日,599140,https://store.steampowered.com/app/599140/Graveyard_Keeper/?snr=1_7_7_2300_150_10
247,Kenshi,95,"60,132",945.0,55,"2.100,00",2018 年 12 月 6 日,233860,https://store.steampowered.com/app/233860/Kenshi/?snr=1_7_7_2300_150_10
248,米德加尔的部落,76,"13,754",476.0,66,"1.400,00",2021 年 7 月 28 日,858820,https://store.steampowered.com/app/858820/_/?snr=1_7_7_2300_150_10
249,《木卫四协议》,62,"23,312",1999.5,50,"3.999,00",2022 年 12 月 2 日,1544020,https://store.steampowered.com/app/1544020/_/?snr=1_7_7_2300_150_10
250,迪士尼梦幻星谷,93,"11,011",2606.25,25,"3.475,00",2022 年 9 月 6 日,1401590,https://store.steampowered.com/app/1401590/_/?snr=1_7_7_2300_150_11
251,Stranded: Alien Dawn,86,"4,507",1920.0,20,"2.400,00",2023 年 4 月 25 日,1324130,https://store.steampowered.com/app/1324130/Stranded_Alien_Dawn/?snr=1_7_7_2300_150_11
252,小小梦魇2,94,"23,225",1412.07,67,"4.279,00",2021 年 2 月 11 日,860510,https://store.steampowered.com/app/860510/2/?snr=1_7_7_2300_150_11
253,CarX Drift Racing Online,95,"59,727",80.99,55,"179,99",2017 年 11 月 18 日,635260,https://store.steampowered.com/app/635260/CarX_Drift_Racing_Online/?snr=1_7_7_2300_150_11
254,The Stanley Parable: Ultra Deluxe,94,"20,982",139.99,50,"279,99",2022 年 4 月 28 日,1703340,https://store.steampowered.com/app/1703340/The_Stanley_Parable_Ultra_Deluxe/?snr=1_7_7_2300_150_11
255,TUNIC,92,"8,398",1470.0,30,"2.100,00",2022 年 3 月 17 日,553420,https://store.steampowered.com/app/553420/TUNIC/?snr=1_7_7_2300_150_11
256,Assassin's Creed® Syndicate,80,"23,053",749.75,75,"2.999,00",2015 年 11 月 19 日,368500,https://store.steampowered.com/app/368500/Assassins_Creed_Syndicate/?snr=1_7_7_2300_150_11
257,Watch Dogs®: Legion,54,"3,604",674.85,85,"4.499,00",2023 年 1 月 27 日,2239550,https://store.steampowered.com/app/2239550/Watch_Dogs_Legion/?snr=1_7_7_2300_150_11
258,Projekt: Passion - Season 1,94,842,765.0,15,"900,00",2023 年 5 月 27 日,2173800,https://store.steampowered.com/app/2173800/Projekt_Passion__Season_1/?snr=1_7_7_2300_150_11
259,Marvel's Guardians of the Galaxy,94,"22,395",1049.7,70,"3.499,00",2021 年 10 月 27 日,1088850,https://store.steampowered.com/app/1088850/Marvels_Guardians_of_the_Galaxy/?snr=1_7_7_2300_150_11
